Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
17;2011;1340;Stafford, Matthew;QB;det;a;gnb;40.8;9100
17;2011;1307;Flynn, Matt;QB;gnb;h;det;40.2;5000
17;2011;1151;Brees, Drew;QB;nor;h;car;35.06;9700
17;2011;1225;Manning, Eli;QB;nyg;h;dal;27.24;7500
17;2011;1131;Brady, Tom;QB;nwe;h;buf;24.52;9800
17;2011;1207;Palmer, Carson;QB;oak;h;sdg;24.28;6900
17;2011;1231;Rivers, Philip;QB;sdg;a;oak;23.1;7800
17;2011;1155;Vick, Michael;QB;phi;h;was;22.7;8500
17;2011;1242;Fitzpatrick, Ryan;QB;buf;a;nwe;19.88;6600
17;2011;1262;Clemens, Kellen;QB;stl;h;sfo;19.84;5300
17;2011;1060;Hasselbeck, Matt;QB;ten;a;hou;19.78;6000
17;2011;1254;Smith, Alex;QB;sfo;a;stl;19.16;6400
17;2011;1330;Freeman, Josh;QB;tam;a;atl;17.36;6600
17;2011;1233;Romo, Tony;QB;dal;a;nyg;16.86;8200
17;2011;1369;Skelton, John;QB;ari;h;sea;15.74;6600
17;2011;1339;Sanchez, Mark;QB;nyj;a;mia;13.48;6900
17;2011;1202;Grossman, Rex;QB;was;a;phi;13.24;6400
17;2011;1378;Newton, Cam;QB;car;a;nor;12.52;9800
17;2011;1175;McCown, Josh;QB;chi;a;min;12.4;5000
17;2011;1301;Ryan, Matt;QB;atl;h;tam;12.24;8200
17;2011;1260;Jackson, Tarvaris;QB;sea;a;ari;12.18;5700
17;2011;1249;Orlovsky, Dan;QB;ind;a;jac;11.26;5700
17;2011;1403;Dalton, Andy;QB;cin;h;bal;10.98;6600
17;2011;1211;Wallace, Seneca;QB;cle;h;pit;10.48;5300
17;2011;1029;Delhomme, Jake;QB;hou;h;ten;10.44;0
17;2011;1302;Flacco, Joe;QB;bal;a;cin;9.3;6700
17;2011;1232;Roethlisberger, Ben;QB;pit;a;cle;8.84;7800
17;2011;1298;Moore, Matt;QB;mia;h;nyj;7.3;6600
17;2011;1250;Orton, Kyle;QB;kan;a;den;7.1;5700
17;2011;5071;Webb, Joe;QB;min;h;chi;6.2;6300
17;2011;1381;Gabbert, Blaine;QB;jac;h;ind;5.38;5400
17;2011;1399;Yates, T.J.;QB;hou;h;ten;1.88;6000
17;2011;1140;Redman, Chris;QB;atl;h;tam;1.44;5000
17;2011;1373;Tebow, Tim;QB;den;h;kan;1;8200
17;2011;1336;Hoyer, Brian;QB;nwe;h;buf;0.68;5000
17;2011;1320;Johnson, Josh;QB;tam;a;atl;0.5;5000
17;2011;1334;Daniel, Chase;QB;nor;h;car;0.5;5000
17;2011;1386;Ponder, Christian;QB;min;h;chi;0.12;6400
17;2011;1322;Brandstater, Tom;QB;stl;h;sfo;0;5000
17;2011;1015;Brunell, Mark;QB;nyj;a;mia;0;5000
17;2011;1358;Kafka, Mike;QB;phi;h;was;0;5000
17;2011;1239;Anderson, Derek;QB;car;a;nor;-0.1;5000
17;2011;2608;Rice, Ray;RB;bal;a;cin;32.9;9500
17;2011;2434;Turner, Michael;RB;atl;h;tam;29.2;7300
17;2011;2535;Bradshaw, Ahmad;RB;nyg;h;dal;20.4;7600
17;2011;2779;Tate, Ben;RB;hou;h;ten;20.1;5400
17;2011;2650;Green-Ellis, BenJarvus;RB;nwe;h;buf;20;5900
17;2011;2580;Grant, Ryan;RB;gnb;h;det;19.3;6000
17;2011;2844;Royster, Evan;RB;was;a;phi;19;5100
17;2011;2741;Ivory, Chris;RB;nor;h;car;18.7;4800
17;2011;2775;Spiller, C.J.;RB;buf;a;nwe;18;6900
17;2011;2502;Jones-Drew, Maurice;RB;jac;h;ind;17.8;9200
17;2011;3953;McCluster, Dexter;RB;kan;a;den;16.1;5000
