Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
12;2014;1151;Brees, Drew;QB;nor;h;bal;29.3;9000
12;2014;1081;Manning, Peyton;QB;den;h;mia;28.08;9900
12;2014;1410;Tannehill, Ryan;QB;mia;a;den;27.62;8100
12;2014;1233;Romo, Tony;QB;dal;a;nyg;24.8;8700
12;2014;1225;Manning, Eli;QB;nyg;h;dal;24.52;7200
12;2014;1131;Brady, Tom;QB;nwe;h;det;20.96;9600
12;2014;1439;Bridgewater, Teddy;QB;min;h;gnb;20.6;6500
12;2014;1440;Mettenberger, Zach;QB;ten;a;phi;20.6;6500
12;2014;1252;Rodgers, Aaron;QB;gnb;a;min;19.76;10200
12;2014;1412;Wilson, Russell;QB;sea;h;ari;19.74;8500
12;2014;1250;Orton, Kyle;QB;buf;h;nyj;18.2;7500
12;2014;1254;Smith, Alex;QB;kan;a;oak;17.86;7000
12;2014;1301;Ryan, Matt;QB;atl;h;cle;16.52;7600
12;2014;1409;Luck, Andrew;QB;ind;h;jac;15.02;10300
12;2014;1175;McCown, Josh;QB;tam;a;chi;14.84;7500
12;2014;1339;Sanchez, Mark;QB;phi;h;ten;14.68;7500
12;2014;1404;Kaepernick, Colin;QB;sfo;h;was;14.64;7300
12;2014;1231;Rivers, Philip;QB;sdg;h;stl;14.54;8200
12;2014;1302;Flacco, Joe;QB;bal;a;nor;13.92;7800
12;2014;1403;Dalton, Andy;QB;cin;a;hou;12.92;8200
12;2014;1340;Stafford, Matthew;QB;det;a;nwe;11.36;8300
12;2014;1441;Carr, Derek;QB;oak;h;kan;11.16;6400
12;2014;1336;Hoyer, Brian;QB;cle;a;atl;11.08;7000
12;2014;1213;Hill, Shaun;QB;stl;a;sdg;7.92;6300
12;2014;1290;Stanton, Drew;QB;ari;a;sea;7.26;6600
12;2014;1442;Bortles, Blake;QB;jac;a;ind;7.24;6300
12;2014;1263;Cutler, Jay;QB;chi;h;tam;7.2;8800
12;2014;1401;Mallett, Ryan;QB;hou;h;cin;6.76;6900
12;2014;1426;Smith, Geno;QB;nyj;a;buf;3.96;5000
12;2014;1408;Griffin III, Robert;QB;was;a;sfo;3.34;7200
12;2014;1155;Vick, Michael;QB;nyj;a;buf;2.44;7400
12;2014;1421;Manuel, E.J.;QB;buf;h;nyj;0;5000
12;2014;1234;Schaub, Matt;QB;oak;h;kan;0;5000
12;2014;1227;McCown, Luke;QB;nor;h;bal;0;5000
12;2014;2642;Forsett, Justin;RB;bal;a;nor;32;7700
12;2014;2924;Anderson, C.J.;RB;den;h;mia;27.5;7200
12;2014;2896;Lacy, Eddie;RB;gnb;a;min;26.8;8600
12;2014;2613;Forte, Matt;RB;chi;h;tam;25.7;9300
12;2014;2899;Murray, Latavius;RB;oak;h;kan;23.2;5100
12;2014;2969;Crowell, Isaiah;RB;cle;a;atl;20.8;5500
12;2014;2629;Charles, Jamaal;RB;kan;a;oak;20.2;9100
12;2014;2721;Blount, LeGarrette;RB;nwe;h;det;19.8;0
12;2014;2707;McCoy, LeSean;RB;phi;h;ten;19.6;7700
12;2014;2871;Morris, Alfred;RB;was;a;sfo;19.5;7600
12;2014;2754;Mathews, Ryan;RB;sdg;h;stl;18.3;6400
12;2014;2928;Hill, Jeremy;RB;cin;a;hou;16.1;7400
12;2014;2658;Jennings, Rashad;RB;nyg;h;dal;16;6600
12;2014;2831;Murray, DeMarco;RB;dal;a;nyg;15.3;9000
12;2014;2730;Dixon, Anthony;RB;buf;h;nyj;12.7;5300
12;2014;2418;Jackson, Steven;RB;atl;h;cle;12.1;6400
12;2014;2520;Jackson, Fred;RB;buf;h;nyj;12;6500
12;2014;2484;Sproles, Darren;RB;phi;h;ten;11.4;6000
12;2014;2934;Williams, Andre;RB;nyg;h;dal;11.2;6300
12;2014;2865;Richardson, Trent;RB;ind;h;jac;10.2;5700
12;2014;2818;Rodgers, Jacquizz;RB;atl;h;cle;10.2;4600
12;2014;2855;Herron, Dan;RB;ind;h;jac;10.1;4500
12;2014;2830;Vereen, Shane;RB;nwe;h;det;10;6500
12;2014;2794;Thomas, Daniel;RB;mia;a;den;9.9;4800
12;2014;2552;Lynch, Marshawn;RB;sea;h;ari;9.7;8800
12;2014;2932;Mason, Tre;RB;stl;a;sdg;9.3;5600
12;2014;3953;McCluster, Dexter;RB;ten;a;phi;9.2;4800
12;2014;2892;Ellington, Andre;RB;ari;a;sea;8.8;8000
12;2014;2598;Thomas, Pierre;RB;nor;h;bal;8.6;6200
12;2014;2960;Blue, Alfred;RB;hou;h;cin;8.1;7200
12;2014;2935;McKinnon, Jerick;RB;min;h;gnb;7.8;5600
12;2014;2889;Bernard, Giovani;RB;cin;a;hou;7.7;8400
12;2014;2645;Johnson, Chris;RB;nyj;a;buf;7.7;5600
12;2014;2929;West, Terrance;RB;cle;a;atl;7.6;6100
12;2014;2709;Greene, Shonn;RB;ten;a;phi;7.5;4700
12;2014;2901;Robinson, Denard;RB;jac;a;ind;7.2;7500
12;2014;2859;Miller, Lamar;RB;mia;a;den;7.2;7100
12;2014;2907;Riddick, Theo;RB;det;a;nwe;6.7;5900
12;2014;2736;Gerhart, Toby;RB;jac;a;ind;6.5;4800
12;2014;2881;Grimes, Jonathan;RB;hou;h;cin;6.3;4600
12;2014;2982;Oliver, Branden;RB;sdg;h;stl;6;6000
12;2014;2905;Banyard, Joe;RB;min;h;gnb;6;4500
12;2014;2933;Hyde, Carlos;RB;sfo;h;was;5.6;5300
12;2014;2834;Miller, Bruce;RB;sfo;h;was;5.5;4600
12;2014;2741;Ivory, Chris;RB;nyj;a;buf;5.3;5900
12;2014;2793;Ingram, Mark;RB;nor;h;bal;5.2;7900
12;2014;2719;Bell, Joique;RB;det;a;nwe;5.1;6700
12;2014;2665;Reece, Marcel;RB;oak;h;kan;5;4600
12;2014;2603;McFadden, Darren;RB;oak;h;kan;4.4;5800
12;2014;2931;Sims, Charles;RB;tam;a;chi;4.3;4900
12;2014;2927;Sankey, Bishop;RB;ten;a;phi;4.1;5800
12;2014;2863;Rainey, Bobby;RB;tam;a;chi;4.1;6000
12;2014;2911;Cunningham, Benny;RB;stl;a;sdg;3.9;5300
12;2014;2861;Pierce, Bernard;RB;bal;a;nor;3.9;5300
12;2014;2705;Brown, Donald;RB;sdg;h;stl;3.7;5500
12;2014;2858;Martin, Doug;RB;tam;a;chi;3.6;5500
12;2014;2958;Thomas, De'Anthony;RB;kan;a;oak;3.4;4800
12;2014;2965;Thompson, Juwan;RB;den;h;mia;3.3;5900
12;2014;2880;Dunbar, Lance;RB;dal;a;nyg;3.1;4900
12;2014;2879;Polk, Chris;RB;phi;h;ten;2.5;5400
12;2014;2867;Turbin, Robert;RB;sea;h;ari;2.5;4600
12;2014;2840;Todman, Jordan;RB;jac;a;ind;2.4;4700
12;2014;2869;Cadet, Travaris;RB;nor;h;bal;2.1;5000
12;2014;2851;Brown, Bryce;RB;buf;h;nyj;2;5900
12;2014;2813;Helu, Roy;RB;was;a;sfo;1.9;5700
12;2014;2467;Gore, Frank;RB;sfo;h;was;1.6;6900
12;2014;2908;Juszczyk, Kyle;RB;bal;a;nor;1.6;4600
12;2014;2549;Kuhn, John;RB;gnb;a;min;1.4;4500
12;2014;2903;Taylor, Stepfan;RB;ari;a;sea;1.4;5400
12;2014;2726;Conner, John;RB;nyj;a;buf;1.3;4500
12;2014;2930;Freeman, Devonta;RB;atl;h;cle;0.7;4900
12;2014;2822;Sherman, Anthony;RB;kan;a;oak;0.5;4500
12;2014;2957;Williams, Damien;RB;mia;a;den;0.4;4900
12;2014;2857;James, LaMichael;RB;mia;a;den;0.4;0
12;2014;2837;Hynoski, Henry;RB;nyg;h;dal;0.4;4500
12;2014;2972;Carey, Ka'Deem;RB;chi;h;tam;0.3;4500
