Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
3;2012;1232;Roethlisberger, Ben;QB;pit;a;oak;32.16;7600
3;2012;1234;Schaub, Matt;QB;hou;a;den;26.6;6700
3;2012;1302;Flacco, Joe;QB;bal;h;nwe;26.58;6600
3;2012;1403;Dalton, Andy;QB;cin;a;was;25.72;7000
3;2012;1408;Griffin III, Robert;QB;was;h;cin;25.34;8500
3;2012;1386;Ponder, Christian;QB;min;h;sfo;25.22;6100
3;2012;1382;Locker, Jake;QB;ten;h;det;24.62;6000
3;2012;1409;Luck, Andrew;QB;ind;h;jac;24.52;7000
3;2012;1301;Ryan, Matt;QB;atl;a;sdg;22.4;8200
3;2012;1081;Manning, Peyton;QB;den;h;hou;21.2;8200
3;2012;1151;Brees, Drew;QB;nor;h;kan;20.5;9500
3;2012;1207;Palmer, Carson;QB;oak;h;pit;19.86;7000
3;2012;1242;Fitzpatrick, Ryan;QB;buf;a;cle;19.32;6900
3;2012;1282;Kolb, Kevin;QB;ari;h;phi;18.48;5700
3;2012;1340;Stafford, Matthew;QB;det;a;ten;18.32;8800
3;2012;1131;Brady, Tom;QB;nwe;a;bal;18.1;9200
3;2012;1225;Manning, Eli;QB;nyg;a;car;16.02;8800
3;2012;1412;Wilson, Russell;QB;sea;h;gnb;15;5400
3;2012;1213;Hill, Shaun;QB;det;a;ten;14.78;5000
3;2012;1339;Sanchez, Mark;QB;nyj;a;mia;14.64;6300
3;2012;1378;Newton, Cam;QB;car;h;nyg;13.28;9200
3;2012;1254;Smith, Alex;QB;sfo;a;min;11.76;7000
3;2012;1411;Weeden, Brandon;QB;cle;h;buf;11.48;6000
3;2012;1381;Gabbert, Blaine;QB;jac;a;ind;11.3;5400
3;2012;1252;Rodgers, Aaron;QB;gnb;a;sea;10.62;9400
3;2012;1263;Cutler, Jay;QB;chi;h;stl;8.12;6700
3;2012;1330;Freeman, Josh;QB;tam;a;dal;7.5;7300
3;2012;1155;Vick, Michael;QB;phi;a;ari;7.48;8900
3;2012;1410;Tannehill, Ryan;QB;mia;h;nyj;7.14;5700
3;2012;1241;Cassel, Matt;QB;kan;a;nor;7.12;6100
3;2012;1233;Romo, Tony;QB;dal;h;tam;6.82;8300
3;2012;1344;Bradford, Sam;QB;stl;a;chi;5.48;6300
3;2012;1231;Rivers, Philip;QB;sdg;h;atl;5.12;8200
3;2012;1239;Anderson, Derek;QB;car;h;nyg;1.84;5000
3;2012;1170;Carr, David;QB;nyg;a;car;0.16;5000
3;2012;1399;Yates, T.J.;QB;hou;a;den;0;5200
3;2012;1227;McCown, Luke;QB;atl;a;sdg;0;5000
3;2012;1334;Daniel, Chase;QB;nor;h;kan;0;5000
3;2012;1373;Tebow, Tim;QB;nyj;a;mia;0;5400
3;2012;2629;Charles, Jamaal;RB;kan;a;nor;37.8;6400
3;2012;2698;Brown, Andre;RB;nyg;a;car;26.5;5400
3;2012;2502;Jones-Drew, Maurice;RB;jac;a;ind;26.3;8100
3;2012;2608;Rice, Ray;RB;bal;h;nwe;23.5;9100
3;2012;2795;LeShoure, Mikel;RB;det;a;ten;21.4;0
3;2012;2603;McFadden, Darren;RB;oak;h;pit;18.5;7600
3;2012;2696;Foster, Arian;RB;hou;a;den;17.3;9700
3;2012;2818;Rodgers, Jacquizz;RB;atl;a;sdg;15.2;4800
3;2012;2434;Turner, Michael;RB;atl;a;sdg;15.1;5800
3;2012;2454;Benson, Cedric;RB;gnb;a;sea;14.4;7000
3;2012;2536;Bush, Michael;RB;chi;h;stl;14.3;6300
3;2012;2865;Richardson, Trent;RB;cle;h;buf;14.1;7900
3;2012;2871;Morris, Alfred;RB;was;h;cin;13.8;6000
3;2012;2831;Murray, DeMarco;RB;dal;h;tam;13;7600
3;2012;2775;Spiller, C.J.;RB;buf;a;cle;12.8;7800
3;2012;2794;Thomas, Daniel;RB;mia;h;nyj;12.5;4800
3;2012;2553;Peterson, Adrian;RB;min;h;sfo;11.7;8500
3;2012;2617;Choice, Tashard;RB;buf;a;cle;10.9;4500
3;2012;2689;Woodhead, Danny;RB;nwe;a;bal;10.8;4500
3;2012;2705;Brown, Donald;RB;ind;h;jac;10.6;5500
3;2012;2552;Lynch, Marshawn;RB;sea;h;gnb;10.4;7600
3;2012;2827;Williams, Ryan;RB;ari;h;phi;10;4500
3;2012;2707;McCoy, LeSean;RB;phi;a;ari;9.3;8500
3;2012;2719;Bell, Joique;RB;det;a;ten;8.7;4500
3;2012;2598;Thomas, Pierre;RB;nor;h;kan;8.6;5400
3;2012;2858;Martin, Doug;RB;tam;a;dal;8.4;6700
